AGESA;16.830,00;595,10;5,00;19,90;28,28;
AKBNK;327.080,00;13.184,30;1,50;52,80;24,80;
AKGRT;12.718,70;272,80;3,60;28,00;46,75;
ALBRK;13.250,00;614,00;1,00;40,30;21,57;
ANHYT;32.207,00;961,60;5,00;15,10;33,51;
ANSGR;53.900,00;2.866,80;3,60;34,70;18,80;
BRKVY;4.116,00;;5,30;24,30;;
CRDFA;813,00;29,81;2,00;70,50;28,03;
GARAN;395.430,00;22.316,50;1,50;14,00;17,71;
GARFA;14.182,80;278,99;7,10;8,40;51,01;
GLCVY;6.434,60;;3,30;18,90;;
HALKB;125.733,60;4.817,50;0,90;8,50;26,10;
ICBCT;14.740,40;115,20;3,00;7,20;128,17;
ISATR;2.777,20;0,00;;23,80;;
ISBTR;17.399,90;0,00;;25,60;;
ISCTR;369.999,60;14.047,80;1,20;32,80;26,34;
ISFIN;9.525,60;517,42;1,40;39,00;18,42;
ISKUR;0,00;;;28,60;;
KLNMA;116.050,00;1.033,90;9,70;0,90;112,34;
KTLEV;17.568,00;706,21;11,10;30,80;24,88;
LIDFA;2.289,30;133,62;1,80;41,10;17,21;
QNBFB;1.306.500,00;9.863,50;14,10;0,10;132,46;
QNBFL;145.500,00;163,35;;0,60;892,63;
RAYSG;83.491,80;924,20;28,40;5,30;90,35;
SEKFK;1.205,00;65,44;2,10;51,20;18,53;
SKBNK;9.411,60;504,10;0,70;50,20;18,67;
TSKB;30.044,00;1.934,20;1,30;40,70;15,53;
TURSG;87.985,40;3.526,60;4,90;18,90;24,95;
ULUFA;1.814,30;154,53;1,80;56,00;11,77;
VAKBN;212.200,70;12.023,00;1,10;6,10;17,64;
VAKFN;6.600,00;308,28;2,10;37,90;21,42;
YKBNK;286.355,00;10.301,90;1,60;38,80;27,79;
